seed,epoch,train_mse,validation_mse
42,1,0.8999964510034527,0.6629325397637225
42,2,0.6863616377405548,0.5801058707855695
42,3,0.6328014562994768,0.5450156479532339
42,4,0.5940017767701976,0.5230093003387679
42,5,0.5625074377287451,0.510594470239202
42,6,0.537889666629739,0.5064998338909211
42,7,0.5163337635112237,0.4944729711928117
42,8,0.4982935811478607,0.4823080503379702
42,9,0.4848146719449972,0.48607529229953983
42,10,0.4729657775068197,0.48151607378104266
42,11,0.4619309261487974,0.4690582288032686
42,12,0.45077323821072374,0.469556740958328
42,13,0.44106297908550407,0.4651720569476222
42,14,0.43434922554439026,0.460944423326545
42,15,0.42843374253421485,0.4735721127263402
42,16,0.4232903014950298,0.46652077604117664
42,17,0.41442905488296844,0.4663273820302544
42,18,0.4090708441411148,0.46346030126082116
42,19,0.4034379439492105,0.46531308395873855
42,20,0.39657188056620196,0.4587377892402324
42,21,0.39215362608304843,0.4649352070464404
42,22,0.388347449886419,0.4639540486054424
42,23,0.38334230974756967,0.4650083874540303
42,24,0.3803509813872859,0.4597087002227874
42,25,0.37572141501973205,0.4669506682369108
42,26,0.3705334796406795,0.4695343137648024
42,27,0.3681748027088659,0.47089851135812294
42,28,0.36392708331400636,0.4713609043507841
42,29,0.3605229962063009,0.46712579251166625
42,30,0.35870879184142856,0.4657681325789497
42,31,0.35403394359595236,0.47798111089759127
42,32,0.3528185739549883,0.4694071727455449
42,33,0.34898389707958616,0.48223934299411064
42,34,0.3463524376655227,0.4775145961836496
42,35,0.34433743852051213,0.4701613644922079
43,1,0.9031394831788251,0.6593485830789898
43,2,0.684847321149361,0.5727488187643198
43,3,0.6276572888885883,0.549714279898904
43,4,0.5956674825659045,0.5268230237740025
43,5,0.5666107000603187,0.5184072477057231
43,6,0.54501483038705,0.5033146388381756
43,7,0.5252885167937635,0.5008210916735207
43,8,0.5073558001170285,0.48703074788821704
43,9,0.4953627114388855,0.48802752414092754
43,10,0.4832259868343455,0.4779182990985573
43,11,0.47303222563374214,0.4759122143997789
43,12,0.46356065376021,0.471898945920468
43,13,0.45292618071283075,0.48166781925935487
43,14,0.44731500269320806,0.4713390711323076
43,15,0.43873701762775197,0.4696332092631774
43,16,0.4298399291171165,0.47370462533339713
43,17,0.42703112278989147,0.4757790936621262
43,18,0.42021653799210046,0.4616006271442074
43,19,0.4128486833213008,0.4757559166994444
43,20,0.41027674828206273,0.4730573429110515
43,21,0.40415526795095985,0.47297182629171935
43,22,0.39969883932322586,0.46984489552263065
43,23,0.39469101694288755,0.4688300661047151
43,24,0.39179137121515145,0.48233856730476554
43,25,0.3856745579208461,0.4788653112330305
43,26,0.38304463214108275,0.48014284420108394
43,27,0.3791181415157073,0.48071759083628923
43,28,0.3763960256077815,0.47072928757818294
43,29,0.3728123446153063,0.4765024108022548
43,30,0.37060230617498,0.47372670982024667
43,31,0.3646652287119821,0.4741787062731138
43,32,0.3616051003024467,0.47238286393241324
43,33,0.35804765026660296,0.4900581857117664
44,1,0.900162864170276,0.6438220600183253
44,2,0.6788278732418679,0.5771254357159182
44,3,0.6221744215821047,0.5420294707587681
44,4,0.5849051656671064,0.5291400698960228
44,5,0.5598104815013105,0.5143579633075086
44,6,0.5371219971244123,0.49675789089502015
44,7,0.5196118364884,0.48982342098493437
44,8,0.5039314488658461,0.486448477796574
44,9,0.4921948051991903,0.4854741758988038
44,10,0.4800613015166836,0.47844283114270186
44,11,0.47175357911538346,0.482764306553923
44,12,0.4615752006139971,0.4694539820343694
44,13,0.45301384525919425,0.47007256013586773
44,14,0.44658849760508684,0.4700524839026613
44,15,0.4402589953376728,0.4694192945942346
44,16,0.4342062900178362,0.48260154811369116
44,17,0.42748070281685946,0.47000114509410634
44,18,0.4224756679480592,0.46845151672382274
44,19,0.4185533155992674,0.47541914337572244
44,20,0.4121394404507675,0.46774630490778574
44,21,0.40720768730022816,0.49524479806200616
44,22,0.40569237662420543,0.47010427194950977
44,23,0.40006641724705205,0.4648048087973069
44,24,0.39383942423154955,0.48333530833182836
44,25,0.39053785116420203,0.4738378732751073
44,26,0.3868852887095369,0.46802061032026243
44,27,0.38174627182781645,0.46531619460599943
44,28,0.38086961947673026,0.46907635962514993
44,29,0.37347279078735657,0.47556241883963296
44,30,0.371169808971935,0.4673568498266257
44,31,0.36709073927017927,0.4754918431772769
44,32,0.3640429902336514,0.47761457204403257
44,33,0.3611593373226848,0.4744099238870273
44,34,0.35757172212203936,0.4759942699849739
44,35,0.3544618957415063,0.4685100290589526
44,36,0.35159546395664426,0.4782773723998769
44,37,0.3475405292747555,0.47785595655144525
44,38,0.34483289450175775,0.47632770292611154
